iso_code;continent;location;date;total_cases;total_deaths;population;life_expectancy;human_development_index
ARG;South America;Argentina;1/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;2/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;3/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;4/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;5/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;6/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;7/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;8/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;9/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;10/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;11/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;12/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;13/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;14/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;15/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;16/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;17/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;18/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;19/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;20/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;21/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;22/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;23/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;24/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;25/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;26/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;27/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;28/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;29/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;30/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;31/1/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;1/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;2/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;3/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;4/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;5/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;6/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;7/2/2020;0;0;45510324;76.67;0.845
ARG;South America;Argentina;8/2/2020;0;0;45510324;76.67;0.845
